speaker,gender,school,speechStyle,segment,previous_segment,following_segment,word,segment_duration,word_duration,start_point_segment,end_point_segment,start_point_word,end_point_word,extraction_param,intensity_mean,pitch_mean,f1,f2
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,<p:>,n,{nd,0.07,0.16,2.75,2.82,2.75,2.91,3,70.24658393,204.7250344,541.4542997,1340.185452
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,<p:>,n,{nd,0.07,0.16,2.75,2.82,2.75,2.91,4,70.24658393,204.7250344,531.3003513,1272.271956
2944,Female,JannaliGirlsHighSchool,Phrase,TRAP,<p:>,n,{nd,0.07,0.16,2.75,2.82,2.75,2.91,5,70.24658393,204.7250344,490.1193344,1238.651982
2944,Female,JannaliGirlsHighSchool,Phrase,BATH,p,s,p6:s,0.3,0.44,3.02,3.32,2.91,3.35,1,73.22096372,254.1152019,922.0172024,1517.723332
2944,Female,JannaliGirlsHighSchool,Phrase,BATH,p,s,p6:s,0.3,0.44,3.02,3.32,2.91,3.35,2,73.22096372,254.1152019,888.0444266,1436.020834
2944,Female,JannaliGirlsHighSchool,Phrase,BATH,p,s,p6:s,0.3,0.44,3.02,3.32,2.91,3.35,3,73.22096372,254.1152019,689.7011352,985.5049406
2944,Female,JannaliGirlsHighSchool,Phrase,BATH,p,s,p6:s,0.3,0.44,3.02,3.32,2.91,3.35,4,73.22096372,254.1152019,847.3064705,1537.545125
2944,Female,JannaliGirlsHighSchool,Phrase,BATH,p,s,p6:s,0.3,0.44,3.02,3.32,2.91,3.35,5,73.22096372,254.1152019,316.8014406,1332.294585
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,m,D@,0.04,0.07,3.38,3.42,3.35,3.42,1,73.35324224,238.856184,409.051683,1523.098353
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,m,D@,0.04,0.07,3.38,3.42,3.35,3.42,2,73.35324224,238.856184,458.5916616,1558.30669
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,m,D@,0.04,0.07,3.38,3.42,3.35,3.42,3,73.35324224,238.856184,467.0406397,1497.789106
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,m,D@,0.04,0.07,3.38,3.42,3.35,3.42,4,73.35324224,238.856184,459.552792,1470.823773
2944,Female,JannaliGirlsHighSchool,Phrase,SCHWA,D,m,D@,0.04,0.07,3.38,3.42,3.35,3.42,5,73.35324224,238.856184,428.2757414,1478.574064
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,m,n,mo:nIN,0.15,0.55,3.5,3.65,3.42,3.97,1,78.27476916,244.7676717,394.4173874,1164.442522
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,m,n,mo:nIN,0.15,0.55,3.5,3.65,3.42,3.97,2,78.27476916,244.7676717,452.8216484,1143.8802
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,m,n,mo:nIN,0.15,0.55,3.5,3.65,3.42,3.97,3,78.27476916,244.7676717,490.6499156,1095.055881
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,m,n,mo:nIN,0.15,0.55,3.5,3.65,3.42,3.97,4,78.27476916,244.7676717,505.6566324,1137.114369
2944,Female,JannaliGirlsHighSchool,Phrase,THOUGHT,m,n,mo:nIN,0.15,0.55,3.5,3.65,3.42,3.97,5,78.27476916,244.7676717,499.4977312,1302.796133
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,N,mo:nIN,0.04,0.55,3.69,3.73,3.42,3.97,1,73.37302359,269.412757,395.5448016,914.8114178
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,N,mo:nIN,0.04,0.55,3.69,3.73,3.42,3.97,2,73.37302359,269.412757,445.648615,715.8897951
2944,Female,JannaliGirlsHighSchool,Phrase,KIT,n,N,mo:nIN,0.04,0.55,3.69,3.73,3.42,3.97,3,73.37302359,269.412757,436.4863742,834.1293198
